all_hyps,all_probs,task_id,for_word
"
lug -> meaning

Example answers:

lug -> blue
lug ->",-7.591517528999999,0,lug
"
lug -> meaning

Example answers:

lug -> blue
lug ->",-7.591517528999999,0,lug
"
lug -> meaning

Example answers:

lug -> blue
lug ->",-7.591517528999999,0,lug
"
lug -> meaning

Example answers:

lug -> blue
lug ->",-7.591517528999999,0,lug
"
lug -> meaning

Example answers:

lug -> blue
lug ->",-7.591517528999999,0,lug
"
dax -> meaning

Example:

dax -> color

Please provide your",-10.004419793860002,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-10.004419793860002,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-10.004419793860002,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-10.004419793860002,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-10.004419793860002,0,dax
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.58351733386,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.58351733386,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.58351733386,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.58351733386,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.58351733386,0,wif
"
zup -> meaning

Example: zup -> color

Note: You can also",-11.971691770620001,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-11.971691770620001,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-11.971691770620001,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-11.971691770620001,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-11.971691770620001,0,zup
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-7.6281327503,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-7.650506484260001,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-7.650506484260001,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-7.650506484260001,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-7.650506484260001,0,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.45077929176,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.45077929176,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.45077929176,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.45077929176,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.45077929176,0,walm
"
lug -> meaning

Example answers:

lug -> color
lug ->",-7.616379204,1,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-7.616379204,1,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-7.616379204,1,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-7.616379204,1,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-7.616379204,1,lug
"
dax -> meaning

Example:

dax -> color

Please provide your",-8.621341568099998,1,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-8.621341568099998,1,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-8.621341568099998,1,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-8.621341568099998,1,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-8.621341568099998,1,dax
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-10.01436029726,1,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-10.01436029726,1,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-10.01436029726,1,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-10.01436029726,1,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-10.01436029726,1,wif
"
zup -> meaning

Example: zup -> color

Note: The language is",-8.11568368672,1,zup
"
zup -> meaning

Example: zup -> color

Note: The language is",-8.11568368672,1,zup
"
zup -> meaning

Example: zup -> color

Note: The language is",-8.11568368672,1,zup
"
zup -> meaning

Example: zup -> color

Note: The language is",-8.11568368672,1,zup
"
zup -> meaning

Example: zup -> color

Note: The language is",-8.11568368672,1,zup
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-9.1103714174,1,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-9.1103714174,1,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-9.1103714174,1,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-9.1103714174,1,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-9.1103714174,1,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-7.765653755630001,1,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-7.765653755630001,1,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-7.765653755630001,1,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-7.765653755630001,1,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-7.765653755630001,1,walm
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.28454583424,2,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.28454583424,2,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.28454583424,2,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.28454583424,2,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.28454583424,2,lug
"
dax -> meaning

Example: dax -> color

Note: You can also",-9.14625100886,2,dax
"
dax -> meaning

Example: dax -> color

Note: You can also",-9.14625100886,2,dax
"
dax -> meaning

Example: dax -> color

Note: You can also",-9.14625100886,2,dax
"
dax -> meaning

Example: dax -> color

Note: You can also",-9.14625100886,2,dax
"
dax -> meaning

Example: dax -> color

Note: You can also",-9.14625100886,2,dax
"
wif -> meaning

Example answers:

wif -> color
wif ->",-7.6509056627000005,2,wif
"
wif -> meaning

Example answers:

wif -> color
wif ->",-7.6509056627000005,2,wif
"
wif -> meaning

Example answers:

wif -> color
wif ->",-7.6509056627000005,2,wif
"
wif -> meaning

Example answers:

wif -> color
wif ->",-7.6509056627000005,2,wif
"
wif -> meaning

Example answers:

wif -> color
wif ->",-7.6509056627000005,2,wif
"
zup -> meaning

Example answers:

zup -> color
zup ->",-6.944213692100002,2,zup
"
zup -> meaning

Example answers:

zup -> color
zup ->",-6.944213692100002,2,zup
"
zup -> meaning

Example answers:

zup -> color
zup ->",-6.944213692100002,2,zup
"
zup -> meaning

Example answers:

zup -> color
zup ->",-6.944213692100002,2,zup
"
zup -> meaning

Example answers:

zup -> color
zup ->",-6.944213692100002,2,zup
"
Example: bluf -> blue

Or

Example: bluf -> a color
",-8.181771527679999,2,bluf
"
Example: bluf -> blue

Or

Example: bluf -> a color
",-8.181771527679999,2,bluf
"
Example: bluf -> blue

Or

Example: bluf -> a color
",-8.181771527679999,2,bluf
"
Example: bluf -> blue

Or

Example: bluf -> a color
",-8.181771527679999,2,bluf
"
Example: bluf -> blue

Or

Example: bluf -> a color
",-8.181771527679999,2,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-11.399208679371998,2,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-11.399208679371998,2,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-11.399208679371998,2,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-11.399208679371998,2,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-11.399208679371998,2,walm
"
lug -> meaning

Example:

lug -> color

Please provide your",-7.970760626960001,3,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-7.970760626960001,3,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-7.970760626960001,3,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-7.970760626960001,3,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-7.970760626960001,3,lug
"
dax -> meaning

Example answers:

dax -> color
dax ->",-7.4513057512000005,3,dax
"
dax -> meaning

Example answers:

dax -> color
dax ->",-7.4513057512000005,3,dax
"
dax -> meaning

Example answers:

dax -> color
dax ->",-7.4513057512000005,3,dax
"
dax -> meaning

Example answers:

dax -> color
dax ->",-7.4513057512000005,3,dax
"
dax -> meaning

Example answers:

dax -> color
dax ->",-7.4513057512000005,3,dax
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-6.58829671184,3,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-6.58829671184,3,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-6.58829671184,3,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-6.58829671184,3,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-6.58829671184,3,wif
"
zup -> meaning

Example:
zup -> color

Note:

",-11.24242133338,3,zup
"
zup -> meaning

Example:
zup -> color

Note:

",-11.24242133338,3,zup
"
zup -> meaning

Example:
zup -> color

Note:

",-11.24242133338,3,zup
"
zup -> meaning

Example:
zup -> color

Note:

",-11.24242133338,3,zup
"
zup -> meaning

Example:
zup -> color

Note:

",-11.24242133338,3,zup
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-11.201145835888003,3,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-11.201145835888003,3,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-11.201145835888003,3,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-11.201145835888003,3,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-11.201145835888003,3,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.65413489218,3,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.65413489218,3,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.65413489218,3,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.65413489218,3,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-12.65413489218,3,walm
"
lug -> meaning

Example:

lug -> color

Please provide your",-8.61349999148,4,lug
