chr,en,num_words
"ᎠᎴ ᎾᏍᎩ ᏅᏗᎦᎵᏍᏙᏗᎭ ᏂᎦᏛ ᎠᏃᎯᏳᎲᏍᎩ ᎠᎾᏚᏓᎴᎭ ᏂᎦᎥ ᏧᏓᎴᏅᏛ, ᎾᏍᎩ ᎨᏣᏚᏓᎳᎡᏗ ᏂᎨᏒᎾ ᏥᎨᏒ ᎼᏏ ᎤᏤᎵ ᏗᎧᎿᏩᏛᏍᏗ ᏕᏥᎧᎿᏩᏗᏒ ᎢᏳᏍᏗ.","and by him every one that believeth is justified from all things, from which ye could not be justified by the law of Moses.",24
"ᎤᏯᎪᏅ ᎠᏰᎸᎢ, ᎠᏍᎪᎵ ᎤᏍᏆᏄᏤ ᎫᏕᎶᎰᎯᏍᏗ ᏄᏍᏛ ᎢᎪᎯᏛ, ᏩᏥᎳᏉ ᎢᏳᏍᏗ.","When he was done with the body, he held the head in his mouth and sucked until it held no more flavor than his own spit.",26
ᎠᏎᏃ ᎾᏂᎥ ᎤᎾᏤᎵᏛᎭ; ᎦᎶᏁᏛ ᏧᏓᎴᏅᏔᏅᎯ; ᎣᏂᏃ ᎾᏍᎩ ᎾᎦᎶᏁᏛ ᏧᏤᎵ ᎨᏒ ᎾᎯᏳ ᎦᎷᏨᎭ.,"But each in his own order: Christ the firstfruits; then they that are Christ’s, at his coming.",17
ᎤᏓᎴᏨ ᎨᏎ ᎱᎷᏨᎢ.,His was a strange homecoming.,5
ᎾᏍᎩᏃ ᏄᎬᏫᏳᏒ ᏗᏓᏘᏂᏙᎯ ᎤᏪᎧᏅᎩ ᎠᏫᏅ ᎠᎴ ᎠᏁᏤᎸᎩ ᎯᎠ ᏄᏪᏎᎸᎩ; ᏞᏍᏗ ᎩᎶ ᎯᏃᏁᎸ ᎾᏍᎩ ᎯᎠ ᎬᏂᎨᏒ ᏂᏍᏋᏁᎸᎢ.,"So the chief captain let the young man go, charging him, Tell no man that thou hast signified these things to me.",22
"ᏭᏌᎩᏒ ᎪᏪᎵ ᎣᏍᏓ ᎤᎪᎵᏰᎥ ᎠᏍᏓᏱᏛ, ᏔᎵᏁ ᏄᏪᏒ, ᎦᎸᎳᏗ ᎠᏓᏅᏖᎵᏙ ᎤᏥᎸ.","He picked the letter up again and studied the signature and said again, Major Cotton.",15
"ᎠᎴ ᏞᏍᏗ ᏂᎯ ᏱᏥᏲᎮᏍᏗ ᎢᏳᏍᏗ ᎢᏣᎵᏍᏓᏴᏗᏱ, ᎠᎴ ᎢᏳᏍᏗ ᎢᏣᏗᏔᏍᏗᏱ, ᎠᎴ ᏞᏍᏗ ᏧᏢᏫᏛ ᏱᏂᏚᏍᏕᏍᏗ ᏕᏣᏓᏅᏛᎢ.","And seek not ye what ye shall eat, and what ye shall drink, neither be ye of doubtful mind.",19
ᎤᏩᏃᏪ ᏫᎵᎻ ᎤᎪᎭ.,Wilbur trembled all over when he saw it.,8
"ᎾᎿᏃ ᏚᎴᏅ, ᏧᏗᏱ ᎦᏓ ᎠᎲᎢ ᎤᎷᏤᎢ, ᏦᏓᏂ ᎠᏍᎪᏂᏗᏢ ᏧᎶᎯᏍᏔᏁᎢ; ᎠᎴ ᎤᏂᏣᏘ ᏴᏫ ᏔᎵᏁ ᎢᎬᏩᏓᏟᏌᏁᎴᎢ; ᎠᎴ ᎢᏳᏛᏁᏗ ᎨᏒ ᏄᏛᏁᎴᎢ, ᏔᎵᏁ ᏚᏪᏲᏁᎢ.","And he arose from thence, and cometh into the borders of Judæa and beyond the Jordan: and multitudes come together unto him again; and, as he was wont, he taught them again.",32
ᏣᏍᎪᏃ ᎢᎦᏓ ᏦᎯᏍᏙᏗ ᏱᎩ.,Surely some of them have some superior features.,8
ᎤᏏᏩ ᎨᏎᎢ ᎤᎾᏓᎪᎾᏙᏗ.,The Fair Grounds were soon deserted.,6
"ᎠᎴ ᎣᏍᏛ ᎾᎾᏛᏁᎮᏍᏗ, ᎠᎴ ᎤᏁᎿᎢᏳ ᎨᏎᏍᏗ ᎣᏍᏛ ᎾᎾᏛᏁᎲᎢ, ᎠᎴ ᎠᏂᎦᎵᏰᏍᏗ ᎤᎾᏓᏁᏗᏱ, ᎠᏂᏯᏙᎯᎯ ᎨᏎᏍᏗ ᎤᏂᎲᎢ,","that they do good, that they be rich in good works, that they be ready to distribute, willing to communicate;",20
"ᎠᎦᏗᏓ ᏚᎾᏓᏚᎯᏍᏕᎢ ᎤᏲ ᎠᏒᎬ, ᏃᎴ ᎤᏩᎬᏘᎶᏓ ᎤᏃᎮᎴ ᏫᎵᎻ ᏄᎵᏍᏔᏁᎸ ᎡᎳᏆᏗ ᏃᎴ ᎤᏁᎸᏔᏅ ᎤᏂᏴᏗ ᏌᎳᏓ ᏃᎴ ᎤᏪᏥ ᎤᎪᏏᏓ ᎤᏲᏨ ᎤᎨᎯᏙᎸ ᎡᎳᏆᏗ.","There were many complaints about the awful smell, and Wilbur had to tell the story over and over again, of how the Arable boy had tried to capture Charlotte, and how the smell of the broken egg drove him away just in time.",43
ᎢᎸᏍᎩᏍᎪ ᎢᏯᏥᏛᎯ ᎦᎶᏁᏛ? ᏉᎳᏍᎪ ᏓᏓᎿᏩᏍᏛ ᎠᎦᏛᏁ ᎢᏥᏍᏕᎸᏗᏱ? ᎠᎴᏍᎪ ᏉᎳ ᏚᏙᎥ ᏕᏣᏬᏍᏔᏁᎢ?,Is Christ divided? was Paul crucified for you? or were ye baptized into the name of Paul?,17
ᎤᎦᏙᏍᏛᎢ ᏫᎵᎻ ᏚᏲᏎ ᎠᏦᏴᎢ ᏃᎴ ᎤᎵᏌᎵᏓᏁᎢ.,"As Wilbur watched, the spider let go of the fence and rose into the air.",15
ᎤᏁᎷᏁᎢ ᎤᎾᏓᏓᏍᎩ.,The crowd cheered.,3
ᎡᎶᎯ ᏧᏙᏢᏅ ᏅᏓᎬᏩᏓᎴᏅᏛ ᎥᏝ ᏱᎨᎦᏛᎦᏃ ᎩᎶ ᏚᏍᏚᎢᎡᎸ ᏗᎦᏙᎵ ᏗᎨᏫ ᎤᏕᏅᎯ.,Since the world began it was never heard that any one opened the eyes of a man born blind.,19
"”ᎪᎱᏍᏗ ᏕᏥᎪᏩᏘᎭ,” ᎤᏛᏁ ᎠᏝᏪᎯ.","“I’m seeing things,” he whispered.",5
ᎯᎠᏃ ᏄᏪᏎᎴ ᎠᎨᏴ; ᏣᏍᎦᏅᏨ ᎡᏣᏙᎵᎩ.,"And he said unto her, Thy sins are forgiven.",9
ᏃᏉᏗ ᎯᏢᎾ.”,"And now, go to sleep.”",5
ᏍᎩᏴᏃ ᎠᏥᎳ ᎠᎪᎲᏍᎬ ᎯᎠ ᎠᏂᏴᏫ ᏣᎾᏴᎩᏍᎨ ᏗᎧᏃᎩᏓ ᎠᏥᎸ ᎢᏣ ᏗᏓᏅᏫᏍᎩ ᏗᎧᏃᎩᏓ.,As the fire burned the people heard songs coming from the fire –  songs of healing.,16
"ᎤᏍᏆᏙᏅ ᎤᎦᏔᎲᏍᎬ ᏄᏍᏛ, ᎤᏅᎦᎸᎲ ᎪᎢᎭ ᎦᏰᏌᏛ.","When he was done tasting, he scrubbed at his greasy finger with the thumb of the same fist.",18
"ᎠᎴ ᎾᏍᎩ ᏥᏫᏍᎪᎢ, ᎥᏝ ᎾᏍᎩ ᎠᏰᎸ ᎤᏙᏢᏗ ᎨᏒ ᏱᏫᏍᎪᎢ, ᎤᎦᏔᎭᏉᏍᎩᏂ, ᎤᏣᎴᏍᏗᏉ ᏱᎩ, ᎠᎴ ᎪᎱᏍᏗᏉ ᎤᏍᏗ ᏅᏩᏓᎴ ᏱᎩ;","and that which thou sowest, thou sowest not the body that shall be, but a bare grain, it may chance of wheat, or of some other kind;",27
ᎤᏲ ᎤᎾᏗᏅᏗ ᏪᏙᎰ ᎢᎪᎯᏓ ᏃᎴ ᏓᎪᏩᏘᏍᎪ ᏧᏪᏘ ᏗᎪᏪᎵ ᏗᎪᎵᏰᏗ.,The rat visits the dump regularly and has access to old magazines.,12
"ᎾᎯᏳᏃ ᎤᏒᎯ ᎢᏈᎬᎢ ᏂᎦᏟᎮ, ᎠᏧᏣᏃ ᏒᎦᏔ ᏚᎧᏁᏞᎢ ᎥᎿ ᎤᏩᏅᎦᏢᎢ ᏒᎦᏔ ᎢᏈᎬᎢ.","That night as the tree slept, the boy tied a big red apple on a branch of the little apple tree.",21
"ᏍᎩᏃ ᎣᏍᏓ ᎠᏆᏅᏛ, ᎢᏳᏍᏘ ᎤᎾᎩᎵ ᎠᏂᏲᏍᎨ ᏃᎴ ᎠᏁᎩ ᎤᏂᏍᎦᏅᏨ ᏑᎾᎴ ᏥᏂᎦᎵᏍᏗ ᏣᎾᏂᎩᏍᎨ, ᎠᏌᎻᏓ ᎤᏍᎦᎢᏓ ᎤᏔᏁ ᎤᏍᏗ ᎪᏪᎵ ᏗᏆᏥᎶᏍᏔᏅ ᎠᏥᎶᏛ.","That, to the best of my remembrance, is why the mounted soldiers and their pedestrian prisoners left after daybreak, Smith navigating nervously by the little scrap of map I had drawn for him.",33
"ᏤᏍᏗᏗ ᏱᏙᎨᏍᏗᏉ, ᏫᎵᎻ!","“Don’t just stand there, Wilbur!",5
"ᎬᏂᎨᏒᎢᏳ ᎢᏰᏨᏁᎸᎯ ᏂᎯ ᎦᎶᏁᏛ ᎤᏤᎵ ᎪᏪᎵ ᎨᏒᎢ, ᎠᏴ ᏦᎩᎸᏫᏍᏓᏁᎸᎯ, ᎪᏪᎳᏅᎯ ᎪᏪᎶᏗ ᎬᏔᏅᎯ ᏂᎨᏒᎾ, ᎠᏓᏅᏙᏍᎩᏂ ᎤᏁᎳᏅᎯ ᎬᏂᏛ ᎤᏤᎵ ᎬᏔᏅᎯ; ᎥᏝ ᏅᏲᎯ ᏗᎪᏪᎶᏗᏱ ᏗᎪᏪᎳᏅᎯ ᏱᎩ, ᎤᏇᏓᎵᏍᎩᏂ ᎨᏒ ᏗᎪᏪᎶᏗᏱ ᎣᎾᏫᏱ.","being made manifest that ye are an epistle of Christ, ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in tables that are hearts of flesh.",38
"ᎯᎠᏃ ᏅᏥᏪᏎᎸᎩ, ᏣᎬᏫᏳᎯ ᏂᎯ ᎯᎦᏔᎭ. ᎯᎠᏃ ᎾᎩᏪᏎᎸᎩ, ᎯᎠᏍᎩᏂ Ꮎ ᎤᏣᏘ ᎠᎩᎵᏯ ᎨᏒ ᏅᏓᏳᏂᎶᏒᎯ, ᎠᎴ ᎤᏃᏕᎾ ᎠᎩᎾ ᎤᎩᎬᏱ ᏧᏅᎩᎶᎥᎯ ᏧᎾᏁᏬ ᎠᎴ ᏧᏁᎬ ᎢᏧᏅᏁᎸᎯ.","And I say unto him, My lord, thou knowest. And he said to me, These are they that come out of the great tribulation, and they washed their robes, and made them white in the blood of the Lamb.",39
"ᎠᏎᏴᏫᏃ ᏚᏍᏆᎸᏔᏅ, ᎠᎴ ᏚᏬᎵ ᏧᏂᏦᏯᏍᏗ ᏭᎧᎵᎢᏍᏔᏅ, ᎠᎴ ᎦᎾᏍᏙᎯ ᎤᏪᏆᏔᏅ, ᎤᏁᏁᎸ ᎤᏗᏔᏍᏗ; ᎯᎠ ᏄᏪᏎᎢ, ᎤᏁᎳᎩ, ᎢᏓᏙᎴᎰᎯ, ᏥᎪᏃ ᎢᏔᏯ ᏓᎦᎷᏥ ᏓᏳᏠᎥᏔᏂᎵ.","And one ran, and filling a sponge full of vinegar, put it on a reed, and gave him to drink, saying, Let be; let us see whether Elijah cometh to take him down.",33
ᎠᏴᏫᏯ ᎤᎬᏫᏳ ᎠᏂᏁᎵ ᏫᎦᎷᎬ ᎢᎦ ᏒᎯᏰᏣ ᎠᏗᏔᎯᏙ ᏃᎴ ᎠᏓᏩᏛᎯᏙ.,He soon began coming around the Indian Queen late afternoons for a drink and a visit.,16
"ᎿᏉᏃ ᎠᏂᏯᏫᏍᎩ ᏚᏂᎦᎵᏒᎩ ᎠᏍᏕᏱᏛ ᎤᏍᏗ ᏥᏳ ᎦᏙᏌᏗᏍᏛᎢ, ᎠᎴ ᎾᏍᎩ ᎤᏬᎰᏒᎩ.","Then the soldiers cut away the ropes of the boat, and let her fall off.",15
"ᎠᏎᏃ ᎾᏍᎩ ᏂᏣᏛᎦ ᏕᏥᏍᎦᏅᏥ ᎢᏣᎵᏅᏟ, ᎠᎴ ᎤᏲ ᏂᏕᏨᎦ ᏗᏩᎾᎦᎳ ᏚᎾᏓᏅᏛᎢ, ᎦᎶᏁᏛ ᎡᏥᏍᎦᏅᏤᎰᎢ.","And thus, sinning against the brethren, and wounding their conscience when it is weak, ye sin against Christ.",18
"“ᎨᏍᏗᏗ ᏍᏆᏬᏣ ᏱᎬᏲᏎᎳ,” ᎤᏛᏁ ᎰᎻ.","“I didn’t ask for a shower bath,” said Mr. Zuckerman.",10
"ᎤᏍᏗ ᏚᏄᏌᏛ, ᎠᏎ ᎤᏍᎪᏍᏛ ᎠᎦᎵᏍᎬ ᎦᏲᏟᏉ ᎠᎪᏩᏛᏗ, ᎠᏥᎸ ᎠᏨᏍᏛ ᎨᏍᏗ ᎠᎪᏩᏛᏗ ᏱᎨᏎ.","His little mustache, faint even in brightest daylight, was invisible by the fire.",13
"ᎪᎯᏳᏗᏍᎩᏂ ᎨᏒ ᎠᏏ ᏂᎦᎾᏄᎪᎬᎾ ᏥᎨᏎᎢ, ᏗᎧᎿᏩᏛᏍᏗ ᎠᎲ ᎭᏫᏂᏗᏢ ᏂᎦᏛ ᏅᎩ, ᎡᎩᏍᏚᎲᎩ ᎪᎯᏳᏗ ᎨᏒ ᎣᏂ ᎬᏂᎨᏒ ᎢᎬᏁᏗ ᎨᏒ ᎢᏯᏍᏗ.","But before faith came, we were kept in ward under the law, shut up unto the faith which should afterwards be revealed.",22
ᎤᎾᏓᏅᏘᏃ ᎪᎯᏳᏗ ᎨᏒ ᎤᎾᏛᏂᏗᏍᏕᏍᏗ; ᎩᎶᏍᎩᏂ ᎢᏳᏍᏗ ᎢᎠᏨᏍᎨᏍᏗ ᎠᏆᏓᏅᏙ ᎥᏝ ᎣᏏᏳ ᏳᏰᎸᏎᏍᏗ ᎾᏍᎩ.,"But my righteous one shall live by faith: And if he shrink back, my soul hath no pleasure in him.",20
"ᎾᏍᎩᏃ ᎾᏂᎥ ᏚᏲᎱᎯᏎᎴᎢ, ᎾᏍᎩ Ꮎ ᏗᏅᏃᏛ ᏥᎩ ᎪᎯ ᎨᏒ ᎢᏳᏓᎴᏅᏛ ᎤᏅᏒᏉ ᎤᎾᏤᎵ ᎤᎬᏩᎵ ᎤᎾᎴᏂᏓᏍᏗᏱ ᏂᎨᏒᎾ, ᎾᏍᎩᏍᎩᏂ Ꮎ ᎤᏤᎵ ᎤᎬᏩᎵ ᏧᏲᎱᎯᏎᎸᎯ ᎠᎴ ᏧᎴᎯᏌᏅᎯ ᏥᎩ.","and he died for all, that they that live should no longer live unto themselves, but unto him who for their sakes died and rose again.",26
"ᏂᎯ ᎾᏍᏉ ᏗᏨᏂᏗᏳ ᎨᏎᏍᏗ; ᏗᏣᎵᏂᎪᎯᏍᏓ ᏗᏥᎾᏫ, ᎤᎬᏫᏳᎯᏰᏃ ᎤᎷᎯᏍᏗᏱ ᎤᏍᏆᎸᎯᏗ.",Be ye also patient; establish your hearts: for the coming of the Lord is at hand.,16
"ᎢᏥᏁᎬᏍᎩᏂ ᎯᎠ ᏄᏍᏕᏍᏗ, ᎥᎥ, ᎥᎥ; ᎥᏝ, ᎥᏝ; ᎤᏟᏰᏃ ᏥᏂᎦᎣ ᎤᏲᏉ ᎨᏒ ᏗᏓᎴᏂᏍᎪᎢ.","But let your speech be, Yea, yea; Nay, nay: and whatsoever is more than these is of the evil one.",20
"ᎠᎴ ᎾᏍᏉ ᏗᎦᏤᎵᎦ ᏩᎾᏕᎶᏆ ᏂᎪᎯᎸ ᎣᏍᏛ ᏧᏂᎸᏫᏍᏓᏁᏗᏱ ᎾᏍᎩ ᎤᏚᎸᏗ ᏂᎦᎵᏍᏗᏍᎬ ᎪᎱᏍᏗ ᎬᏔᏂᏓᏍᏗ, ᎾᏍᎩ ᎠᏂᏁᏉᏍᎩ ᎢᏳᎾᎵᏍᏙᏗᏱ.","And let our people also learn to maintain good works for necessary uses, that they be not unfruitful.",18
"ᎢᏤᏯᏔᎮᏍᏗ, ᎢᏥᏯᏫᏍᎨᏍᏗ ᎠᎴ ᎢᏣᏓᏙᎵᏍᏗᏍᎨᏍᏗ; ᎥᏝᏰᏃ ᏱᏥᎦᏔᎭ ᎢᏳ ᎨᏒᎢ.","Take ye heed, watch and pray: for ye know not when the time is.",14
"ᎣᏲᎢᏳᎢᏣᎵᏍᏓᏁᏗ ᏗᏦᏪᎵᏍᎩ, ᎠᎴ ᎢᏥᏆᎵᏏ, ᎢᏣᏠᎾᏍᏗ! ᏂᎯᏰᏃ ᏓᏓᏂᏌᎲ ᏕᏣᏤᎸ ᏄᏪᎵᏍᏛᎾ ᏥᎨᏐᎢ, ᎠᎴ ᏴᏫ ᎦᏚᎢ ᎠᏂᎶᏍᎩ ᎥᏝ ᏱᎾᏙᎴᎰᏍᎪᎢ.","Woe unto you! for ye are as the tombs which appear not, and the men that walk over them know it not.",22
"ᎯᎠᏃ ᏂᏚᏪᏎᎴᎢ, ᎯᎠ ᎾᏍᎩ ᏥᏂᏨᏪᏎᎸᎩ, ᎠᏏᏉ ᏥᏨᏰᎳᏗᏙᎲᎩ, ᎾᏍᎩ ᏂᎦᎥ ᎾᏍᎩ ᎠᏎ ᎢᏳᎵᏍᏙᏗ ᎨᏒᎢ ᎪᏪᎳᏅᎯ ᎨᏒ ᏗᎧᎿᏩᏛᏍᏗᏱ ᎼᏏ ᎤᏤᎵᎦ, ᎠᎴ ᎠᎾᏙᎴᎰᏍᎩ ᏚᏃᏪᎸᎢ, ᎠᎴ ᏗᎧᏃᎩᏍᏗᏱ, ᎠᏴ ᎬᎩᏃᎮᏍᎬᎢ.","And he said unto them, These are my words which I spake unto you, while I was yet with you, that all things must needs be fulfilled, which are written in the law of Moses, and the prophets, and the psalms, concerning me.",43
ᎦᎶᏇ ᏭᏴᎮ ᏃᎴ ᏄᏓᎴ ᎦᏚ ᎤᎦᎾᏍᏓ ᎠᏔᎸᎩᏓ ᎡᎳᏆᏗ.,Avery grabbed his gun and another doughnut.,7
