chr,en,num_words
ᎤᏓᎴᏨ ᎨᏎ ᎱᎷᏨᎢ.,His was a strange homecoming.,5
ᎤᏩᏃᏪ ᏫᎵᎻ ᎤᎪᎭ.,Wilbur trembled all over when he saw it.,8
ᏣᏍᎪᏃ ᎢᎦᏓ ᏦᎯᏍᏙᏗ ᏱᎩ.,Surely some of them have some superior features.,8
ᎤᏏᏩ ᎨᏎᎢ ᎤᎾᏓᎪᎾᏙᏗ.,The Fair Grounds were soon deserted.,6
ᎤᏁᎷᏁᎢ ᎤᎾᏓᏓᏍᎩ.,The crowd cheered.,3
"”ᎪᎱᏍᏗ ᏕᏥᎪᏩᏘᎭ,” ᎤᏛᏁ ᎠᏝᏪᎯ.","“I’m seeing things,” he whispered.",5
ᎯᎠᏃ ᏄᏪᏎᎴ ᎠᎨᏴ; ᏣᏍᎦᏅᏨ ᎡᏣᏙᎵᎩ.,"And he said unto her, Thy sins are forgiven.",9
ᏃᏉᏗ ᎯᏢᎾ.”,"And now, go to sleep.”",5
"ᏤᏍᏗᏗ ᏱᏙᎨᏍᏗᏉ, ᏫᎵᎻ!","“Don’t just stand there, Wilbur!",5
"“ᎨᏍᏗᏗ ᏍᏆᏬᏣ ᏱᎬᏲᏎᎳ,” ᎤᏛᏁ ᎰᎻ.","“I didn’t ask for a shower bath,” said Mr. Zuckerman.",10
ᎦᎶᏇ ᏭᏴᎮ ᏃᎴ ᏄᏓᎴ ᎦᏚ ᎤᎦᎾᏍᏓ ᎠᏔᎸᎩᏓ ᎡᎳᏆᏗ.,Avery grabbed his gun and another doughnut.,7
ᎾᏍᎩᏃ ᎤᏕᏘᏴᏌᏗᏒᎢ ᏭᎵᏏᎩᏴᎢ ᎤᏒᎯᏰᏱ,The darkest evening of the year.,6
ᎰᎵᎦᏧ?”,Do you think you understand?”,5
"”ᏂᎬᎾᏛ ᎠᏓᏅᎵᏰᎠ,” ᎤᏪᎷᏁ ᏲᎾ ᎤᏤᏍᏙ.","“It’s getting all over everything,” shouted Fern.",7
“ᎠᏯᏍᎪ ᎠᏆᏓᏅᏖᏙᏗ.”,“I should worry.”,3
"ᏂᎦᏓ ᎦᎸᏅ ᎤᏂᏰ, ᏣᏉ ᎠᏰᎵᏉ.","So he left a whole noodle, instead of a half.",10
"ᎦᏅᏙᏗ ᎢᏳᏍᏗ ᎨᏎᎢ, ᎠᎴ ᏒᏚᎵ.","It was a sort of sac, or cocoon.",8
ᎤᏟᏍᏓ ᏥᏚᏝᏗᏗᏅᏎ!,"Quickly, he jumped away!",4
"ᎣᏂᏉ ᎠᏓᏏᏎᎢ ᎡᎳᏆᏗ, ᎤᏂᏴ ᎧᏴᏐᎵ.","Avery ran after her, holding his nose.",7
ᏦᎳᏂᎾ?,Winders?,1
ᎤᏁᎳᏅᎯᏃ ᏅᏩᏙᎯᏯᏛ ᎠᏓᏁᎯ ᏂᏥᎥ ᎢᏤᎳᏗᏙᎮᏍᏗ. ᎡᎺᏅ,Now the God of peace be with you all. Amen.,10
ᎦᏂ ᏕᎦᎸ ᏃᎴ ᏗᏛᏅᎢᏍᏔᏅ ᏧᏂᏍᏔᏲᏍᏗ.,They were loaded and cocked.,5
”ᎭᏦᎣᏍ”,“Jump off!”,2
”ᎯᎾᏓᏖᎸᏂᎦ ᎠᏓᏖᎸᏂᏍᏗ!” ᎤᏛᏁ ᎡᎳᏆᏗ.,“Let’s swing in the swing!” said Avery.,7
ᎡᎶ ᏦᎩᏲᎰᏎᎸ ᎬᎦᏔ ᎣᎩᏲᎰᏎᎳ.,A world once gone was gone for good.,8
“ᏤᏍᏗ ᎤᏗᎴᎩ ᏱᏂᏍᏔᎵᏍᏔᏁᏍᏗ!” ᎤᏛᏁ ᎤᏂᏥ.,“Don’t get overheated!” said their mother.,6
“ᎲᎦ ᎢᏴ ᏣᏕᏘᏱᎭ?,“What is the date of your birth?,7
“ᏔᏟᏂᏆᏅᎥᎦ!” ᎡᏝᏪᎯ ᏄᏪᏎᎢ ᎠᎦᏴᎵ ᎤᏃᏕᎾ.,“Kneel down!” whispered the old sheep.,6
ᎠᏓᏅᏛᎳ ᏣᏙᏓ ᎤᏛᏙᏗ.,So your father has decided to do away with it.”,10
"“ᎤᏙᎯᏳᎯ,” ᎤᏛᏁ ᏫᎵᎻ, “ᏥᏔᎷᎩᏍᎩ ᎢᏳᏍᏗ ᎾᏆᎵᏍᏗ.”","“Actually,” said Wilbur, “I feel radiant.”",6
ᏫᎵᎻ ᏍᏉ ᎤᏚᎵᏍᎬ ᎢᏴ ᎤᎪᏩᏛᏗ.,Wilbur himself could look at it whenever he wanted to.,10
ᏂᎪᎯᎸᎾ ᎤᎾᏓᏅᏖᎴ.,It was soon arranged.,4
“ᎨᏍᏗ ᎯᎸᎯᏳ ᏱᏛᏋᎨᏫ ᎬᏅᎢ ᎢᎪᎯᏓ.”,“I will never forget this as long as I live.”,10
ᎠᏴᏫᏯᎯ ᏧᏍᏆᏅᎾ ᏚᎾᎾᏬᏍᏔᏁᎢ.,They pulled the Indian blanket over them.,7
